"Gene"	"C_0_vs_1_pval"	"C_0_vs_1_logFC"	"C_0_vs_1_pct1"	"C_0_vs_1_pct2"	"C_0_vs_1_adjpval"
"Chd4"	2.27143334848008e-09	-0.268531821047741	0.332	0.396	2.85837172572734e-05
"Bloc1s2"	2.27253704411958e-09	-0.33551620713134	0.23	0.289	2.85976061632008e-05
"Mapk14"	2.43036657049623e-09	-0.370467812422355	0.214	0.269	3.05837329231246e-05
"Cct5"	2.46039760354495e-09	0.257676713468601	0.422	0.383	3.09616434430096e-05
"Lnpep"	2.47039241526704e-09	-0.30909328138322	0.273	0.334	3.10874181537204e-05
"Plod3"	2.52858669810035e-09	-0.29970895347679	0.283	0.345	3.18197350088948e-05
"Cela1"	2.58721367010514e-09	0.781702609600119	0.081	0.049	3.25574968246031e-05
"Plekhm2"	2.60801766458821e-09	0.557970124685052	0.141	0.099	3.2819294291178e-05
"Katnbl1"	2.64699400089732e-09	0.546125252096788	0.133	0.098	3.33097725072919e-05
"Cass4"	2.65702679548052e-09	-0.715175756683455	0.059	0.094	3.34360251943268e-05
"Blcap"	2.6984920160826e-09	-0.356722303933967	0.234	0.29	3.39578235303835e-05
"Chfr"	2.73570132865821e-09	-0.504951503560375	0.112	0.157	3.44260655198349e-05
"Hspb1"	2.75998309583331e-09	2.51046429962953	0.043	0.023	3.47316272779663e-05
"Trib3"	2.83389064958829e-09	0.956240885301482	0.052	0.031	3.5661679934419e-05
"Cnrip1"	2.87963347646654e-09	1.12481060713178	0.043	0.021	3.62373076678549e-05
"Glul"	2.89021923949432e-09	-0.277894841380574	0.361	0.424	3.63705189097965e-05
"Ssrp1"	2.9186446424812e-09	0.271627253861499	0.299	0.269	3.67282241809834e-05
"Foxn2"	2.96650425875367e-09	-0.591462106913203	0.079	0.119	3.73304895921561e-05
"Vdr"	3.00476999093267e-09	-1.10055338073596	0.02	0.043	3.78120255658968e-05
"Gfra4"	3.10267325704423e-09	2.74441925065983	0.012	0.002	3.90440402666446e-05
"C77080"	3.14135380725024e-09	2.62731094766097	0.012	0.002	3.9530796310437e-05
"Slco4a1"	3.15885187938748e-09	1.72339271714207	0.024	0.008	3.9750992050212e-05
"Hsdl2"	3.16507391873847e-09	-0.490309392352932	0.089	0.129	3.98292901934049e-05
"Fbxo36"	3.25586767022651e-09	1.29787531610466	0.029	0.011	4.09718387621304e-05
"Nrbp1"	3.3213306017412e-09	-0.255085086026803	0.306	0.369	4.17956242923112e-05
