"Gene"	"C_0_vs_1_pval"	"C_0_vs_1_logFC"	"C_0_vs_1_pct1"	"C_0_vs_1_pct2"	"C_0_vs_1_adjpval"
"Lgals3"	2.65312290871367e-217	-0.770755153731684	0.995	0.999	3.33868986832528e-213
"Crip1"	2.65977031419277e-214	1.04327800132122	0.985	0.844	3.34705496338018e-210
"C1qc"	7.01745933917383e-211	1.8314257138883	0.675	0.474	8.83077083241635e-207
"S100a4"	1.06727584503537e-209	0.893690626000907	0.881	0.629	1.34305992339251e-205
"B2m"	4.88787341517918e-209	-0.518311525587378	0.999	1	6.15089990566149e-205
"Ly86"	1.54746806483377e-207	0.794684108133858	0.784	0.471	1.94733381278682e-203
"Ccr2"	1.67542373335038e-207	0.863843550444448	0.632	0.28	2.10835322604812e-203
"P2ry6"	3.2439369797138e-206	0.705553221103848	0.735	0.41	4.08217029527185e-202
"Psmd8"	1.09694630713318e-205	-0.782829150039012	0.776	0.902	1.38039723289639e-201
"Ms4a7"	3.19270100989568e-205	1.26764612965136	0.847	0.6	4.01769495085272e-201
"Ucp2"	5.64081335165321e-201	0.676400009858202	0.996	0.947	7.0983995217204e-197
"Adam15"	6.93585994954387e-201	0.650327661337503	0.758	0.441	8.72808616050601e-197
"Pmepa1"	1.2822849631233e-200	0.818816972176272	0.477	0.151	1.61362739759436e-196
"Ptges"	3.87519725427833e-200	-1.04661887726334	0.035	0.274	4.87654822478385e-196
"Rhov"	5.95771417387139e-195	-0.807366729542738	0.1	0.392	7.49718751639976e-191
"Ubb"	2.02260922725205e-192	-0.55698524374676	0.998	1	2.54525145157398e-188
"Grn"	4.96334262800049e-192	0.63459546260759	0.989	0.944	6.24587036307581e-188
"Ifitm2"	1.53641230659908e-191	0.72715755871549	0.992	0.893	1.93342124662428e-187
"Csf1r"	1.84945537196206e-191	0.680133833814758	0.935	0.771	2.32735464007706e-187
"Fn1"	4.36377691866177e-190	1.81494700925403	0.751	0.518	5.49137687444397e-186
"Coro1a"	6.19796584320602e-190	0.647819067362985	0.961	0.815	7.79952021709046e-186
"Tmsb4x"	1.73618568885655e-188	0.706928655991546	0.999	0.996	2.18481607085709e-184
"Ldha"	3.13234418206278e-184	-0.627703321698136	0.99	0.997	3.94174191870781e-180
"AW112010"	4.20390181827743e-184	-1.31678256131311	0.777	0.867	5.29019004812032e-180
"C1qb"	1.36810929199319e-183	1.65095167940633	0.633	0.479	1.72162873304423e-179
"Arg2"	3.92002028902554e-181	-0.706265104867982	0.331	0.655	4.93295353170974e-177
"Atf4"	5.61363205655468e-181	-0.923830177882951	0.526	0.748	7.06419457996841e-177
"mt-Atp8"	8.62414119294352e-181	1.01334068279649	0.923	0.765	1.08526192772001e-176
"C1qa"	1.25243278532995e-178	1.70340996019429	0.658	0.459	1.57606141705921e-174
"Itgb5"	4.4716539094688e-175	0.578131338327973	0.51	0.189	5.62712927967554e-171
"Cx3cr1"	1.37922627038809e-174	0.611621748031671	0.287	0.035	1.73561833865637e-170
"Slpi"	1.72739141693331e-174	-3.15019514070942	0.238	0.548	2.17374935906888e-170
"Slc7a11"	3.36668945442794e-174	-0.7962452599963	0.129	0.395	4.23664200945212e-170
"Cd200"	7.90291848152823e-173	-0.496634510772677	0.009	0.185	9.94503261715513e-169
"Otulinl"	2.13107535261526e-170	0.545134945068715	0.48	0.169	2.68174522373105e-166
"Ndrg1"	6.52941403870013e-169	-0.878794704342895	0.589	0.812	8.21661462630025e-165
"Gabarap"	9.24830436303497e-166	-0.448784739879864	0.996	0.999	1.16380662104432e-161
"Bsg"	1.35135013666793e-164	-0.638505743163246	0.93	0.973	1.70053901198292e-160
"Id2"	4.44650839048768e-162	-0.945423642581114	0.608	0.832	5.5954861585897e-158
"Cfp"	5.5315161105703e-162	0.702100073692679	0.889	0.665	6.96085987354167e-158
"Bnip3"	9.69351178716169e-162	-0.836246065983806	0.657	0.867	1.21983152329643e-157
